tenant_id,store_name,covers,revenue,items_ordered,timestamp,zone
brewpoint_coffee,Brewpoint Coffee,1,9.48,"Cafe Latte, Caramel Macchiato, Croissant",2026-05-24 15:42:38,food_court
lotus_kitchen,Lotus Kitchen,4,61.27,Fried Rice,2026-05-20 13:15:49,food_court
golden_fork,Golden Fork,3,50.47,Big Mac Meal,2026-05-30 19:28:09,food_court
brewpoint_coffee,Brewpoint Coffee,4,43.59,"Cold Brew, Caramel Macchiato",2026-05-10 10:23:53,food_court
brewpoint_coffee,Brewpoint Coffee,4,71.93,Caramel Macchiato,2026-05-28 13:40:54,food_court
brewpoint_coffee,Brewpoint Coffee,3,45.93,"Croissant, Cafe Latte, Caramel Macchiato",2026-05-13 15:15:07,food_court
golden_fork,Golden Fork,3,31.64,"Apple Pie, Fries",2026-05-18 11:42:14,food_court
lotus_kitchen,Lotus Kitchen,4,45.1,"Beijing Beef, Fried Rice, Chow Mein",2026-05-07 13:40:16,food_court
lotus_kitchen,Lotus Kitchen,2,24.89,"Chow Mein, Fried Rice",2026-05-12 15:07:33,food_court
lotus_kitchen,Lotus Kitchen,2,29.57,"Chow Mein, Beijing Beef, Orange Chicken",2026-05-05 12:31:13,food_court
brewpoint_coffee,Brewpoint Coffee,1,11.5,"Cold Brew, Cafe Latte, Cake Pop",2026-05-21 08:32:52,food_court
golden_fork,Golden Fork,4,35.14,"Fries, Nuggets, Big Mac Meal",2026-05-12 07:53:11,food_court
golden_fork,Golden Fork,1,10.04,Nuggets,2026-05-31 08:22:21,food_court
golden_fork,Golden Fork,1,16.46,"McChicken, Big Mac Meal",2026-05-18 08:39:00,food_court
mesa_grill,Mesa Grill,4,65.32,Tacos Trio,2026-05-31 07:32:46,food_court
brewpoint_coffee,Brewpoint Coffee,3,33.18,"Croissant, Cake Pop",2026-05-07 13:48:27,food_court
mesa_grill,Mesa Grill,1,12.87,"Chips & Guac, Agua Fresca, Quesadilla",2026-05-27 19:48:09,food_court
golden_fork,Golden Fork,2,21.23,"Big Mac Meal, Nuggets, McChicken",2026-05-23 12:54:06,food_court
brewpoint_coffee,Brewpoint Coffee,3,35.5,"Cafe Latte, Cake Pop",2026-05-12 17:57:58,food_court
brewpoint_coffee,Brewpoint Coffee,3,49.18,Cake Pop,2026-05-05 16:58:01,food_court
golden_fork,Golden Fork,1,17.82,"Big Mac Meal, Fries",2026-05-31 12:08:06,food_court
mesa_grill,Mesa Grill,2,35.8,"Quesadilla, Tacos Trio, Chips & Guac",2026-05-17 20:16:52,food_court
brewpoint_coffee,Brewpoint Coffee,1,9.64,Croissant,2026-05-26 08:41:22,food_court
mesa_grill,Mesa Grill,4,36.28,Burrito Bowl,2026-05-09 14:04:33,food_court
brewpoint_coffee,Brewpoint Coffee,4,43.37,"Croissant, Cake Pop",2026-05-15 19:13:16,food_court
brewpoint_coffee,Brewpoint Coffee,4,36.8,"Cafe Latte, Cake Pop",2026-05-09 10:32:31,food_court
lotus_kitchen,Lotus Kitchen,2,29.44,"Beijing Beef, Spring Roll",2026-05-13 18:14:16,food_court
brewpoint_coffee,Brewpoint Coffee,3,34.98,"Cafe Latte, Cake Pop, Cold Brew",2026-05-07 13:51:47,food_court
brewpoint_coffee,Brewpoint Coffee,2,19.18,"Cold Brew, Caramel Macchiato",2026-05-06 12:40:25,food_court
